workerid,proliferate.condition,accuracy,accuracy_bool,alter_ball_visible,alter_can_infer,alter_occluders,ball_pos,character_choice,collective_ball_visible,collective_can_infer,ego_ball_visible,ego_can_infer,ego_occluders,filler_trial,internal_node_id,key_trial,response,rt,search_locations,stimulus,time_elapsed,trial,trial_index,trial_type,trick_trial,error
296,Experimen 4,False,0,False,False,101,0,2,False,False,False,False,101,False,0.0-119.0,True,0,2402,"[2, 0]",stimuli/0101101.jpg,358587,prediction_trial,144,image-keyboard-response,False,
296,Experimen 4,True,1,False,False,101,2,0,False,False,False,False,101,False,0.0-121.0,True,0,1868,"[2, 0]",stimuli/2101101.jpg,361187,prediction_trial,146,image-keyboard-response,False,
296,Experimen 4,True,1,False,False,101,3,0,False,False,True,True,011,False,0.0-123.0,False,0,2445,"[2, 0]",stimuli/3101011.jpg,364441,prediction_trial,148,image-keyboard-response,True,
296,Experimen 4,True,1,True,True,010,2,2,False,True,False,True,001,True,0.0-125.0,False,2,2060,[2],stimuli/2010001.jpg,367189,prediction_trial,150,image-keyboard-response,False,
296,Experimen 4,True,1,False,True,100,3,0,False,True,True,True,011,False,0.0-127.0,False,0,2345,[0],stimuli/3100011.jpg,371694,prediction_trial,152,image-keyboard-response,True,
296,Experimen 4,True,1,False,False,011,3,1,False,False,True,True,111,False,0.0-129.0,False,1,2429,"[2, 1]",stimuli/3011111.jpg,374715,prediction_trial,154,image-keyboard-response,True,
296,Experimen 4,True,1,False,True,001,3,2,False,True,True,True,111,False,0.0-131.0,False,2,1782,[2],stimuli/3001111.jpg,377230,prediction_trial,156,image-keyboard-response,True,
296,Experimen 4,False,0,False,False,011,3,2,False,False,True,True,111,False,0.0-133.0,False,1,4246,"[2, 1]",stimuli/3011111.jpg,382277,prediction_trial,158,image-keyboard-response,True,
296,Experimen 4,False,0,False,False,111,2,1,False,False,True,True,110,True,0.0-135.0,False,2,2173,"[2, 0, 1]",stimuli/2111110.jpg,385408,prediction_trial,160,image-keyboard-response,False,
296,Experimen 4,True,1,True,True,010,0,0,False,False,False,False,111,False,0.0-137.0,True,0,1915,[0],stimuli/0010111.jpg,388106,prediction_trial,162,image-keyboard-response,False,
